27-05- 2024 13:00:47 - __main__ - INFO - Element 91 gescraped.
27-05- 2024 13:00:47 - __main__ - INFO - Element 92 gescraped.
27-05- 2024 13:00:47 - __main__ - INFO - Element 93 gescraped.
27-05- 2024 13:00:47 - __main__ - INFO - Element 94 gescraped.
27-05- 2024 13:00:47 - __main__ - INFO - Element 95 gescraped.
27-05- 2024 13:00:47 - __main__ - INFO - Element 96 gescraped.
27-05- 2024 13:00:47 - __main__ - INFO - Element 97 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 98 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 99 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 100 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 101 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 102 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 103 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 104 gescraped.
27-05- 2024 13:00:48 - __main__ - INFO - Element 105 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 106 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 107 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 108 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 109 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 110 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 111 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 112 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 113 gescraped.
27-05- 2024 13:00:49 - __main__ - INFO - Element 114 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 115 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 116 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 117 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 118 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 119 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 120 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 121 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 122 gescraped.
27-05- 2024 13:00:50 - __main__ - INFO - Element 123 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 124 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 125 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 126 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 127 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 128 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 129 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 130 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 131 gescraped.
27-05- 2024 13:00:51 - __main__ - INFO - Element 132 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 133 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 134 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 135 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 136 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 137 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 138 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 139 gescraped.
27-05- 2024 13:00:52 - __main__ - INFO - Element 140 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 141 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 142 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 143 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 144 gescraped.
27-05- 2024 13:00:53 - __main__ - INFO - Element 145 gescraped.
